Timestamp,Set,Serving?,Won?,Cause,Player,Rotation,Notes,Videos,,,,,official scores
,1,Serving,No,attack_out,Alec,1,very close,(4) SUNDAYS 7/16 GAME 1 CAME BACK FROM DOWN 7 TO WIN BIGGGGGG - YouTube,,,,,25-22
,1,Receiving,Yes,opp_err,,1,serve out,SUNDAYS 7/16 GAME 2 THIS ONE WASNT EVEN CLOSE WE BLEW THEM OUT 25-23,,,,,25-23
,1,Serving,No,serve_err,Alec,2,,(4) SUNDAYS 7/16 GAME 3 WE ALREADY WON BUT HAD TO STUNT ON THEM 3-0 - YouTube,,,,,25-22
,1,Receiving,Yes,opp_err,Michelle,2,,"Game Recap: North Seattle Boys and Girls Club Thursday, July 16th, 2026 8:45pm - - Seattle, WA",,,,,
,1,Serving,No,handling_set,Michelle,3,set into net,,rotation:,,,,
,1,Receiving,Yes,opp_err,Avy,3,,,1,Avy,Christie,Alec,
,1,Serving,No,serve_err,Avy,4,,,,Michelle,Ish,Sofia,
,1,Receiving,No,attack_net,Michelle,4,long rally,,,,,,
,1,Receiving,No,aced_on_us,Alec,4,bad bump to net,,2,Michelle,Avy,Christie,
,1,Receiving,No,attack_out,Michelle,4,hit out,,,Ish,Sofia,Alec,
,1,Receiving,No,handling_bump,Alec,4,last bump not over,,,,,,
,1,Receiving,No,handling_bump,Sofia,4,last bump not over,,3,Ish,Michelle,Avy,
,1,Receiving,Yes,our_point,Ish,4,tipped,,,Sofia,Alec,Christie,
,1,Serving,No,serve_err,Michelle,5,,,,,,,
,1,Receiving,Yes,opp_err,Alec,5,,,4,Sofia,Ish,Michelle,
,1,Serving,No,attack_out,Christie,6,good rally,,,Alec,Christie,Avy,
,1,Receiving,No,handling_bump,Sofia,6,last bump not over,,,,,,
,1,Receiving,No,attack_net,Christie,6,,,5,Alec,Sofia,Ish,
,1,Receiving,No,aced_on_us,Avy,6,pass into net,,,Christie,Avy,Michelle,
,1,Receiving,No,attack_out,Sofia,6,long rally,,,,,,
7:31,1,Receiving,Yes,opp_err,Alec,6,,,6,Christie,Alec,Sofia,
,1,Serving,Yes,opp_err,Sofia,1,,,,Avy,Michelle,Ish,
,1,Serving,Yes,aced_on_them_suckas,Sofia,1,,,,,,,
,1,Serving,Yes,aced_on_them_suckas,Sofia,1,,,,,,,
,1,Serving,Yes,opp_err,Christie,1,,,,,,,
,1,Serving,Yes,our_point,Avy,1,tip down on overpass,,,,,,
,1,Serving,No,opp_point,Sofia,1,tough fast over + deep,,,,,,
,1,Receiving,Yes,our_point,Alec,2,nice hit,,,,,,
10:40,1,Serving,No,handling_bump,Sofia,2,pass to net post hit,,,,,,
,1,Receiving,Yes,opp_err,,2,ceiling on serve,,,,,,
,1,Serving,Yes,aced_on_them_suckas,Christie,3,,,,,,,
,1,Serving,Yes,aced_on_them_suckas,Christie,3,,,,,,,
,1,Serving,No,serve_err,Christie,3,out,,,,,,
,1,Receiving,Yes,opp_err,,3,serve out,,,,,,
,1,Serving,Yes,aced_on_them_suckas,Avy,4,,,,,,,
,1,Serving,Yes,aced_on_them_suckas,Avy,4,,,,,,,
,1,Serving,No,attack_net,Ish,4,tip into net,,,,,,
,1,Receiving,No,attack_net,Sofia,4,,,,,,,
,1,Receiving,Yes,opp_err,Sofia,4,,,,,,,
,1,Serving,No,serve_err,Michelle,5,short ?,,,,,,
,1,Receiving,Yes,opp_err,,5,serve out,,,,,,
,1,Serving,Yes,opp_err,Alec,6,hard set over sent off balance,,,,,,
,1,Serving,Yes,aced_on_them_suckas,Ish,6,opp used feet,,,,,,
,1,Serving,No,handling_set,Alec,6,set to narnia,,,,,,
,1,Receiving,Yes,opp_err,Sofia,1,,,,,,,
,1,Serving,Yes,opp_err,Alec,1,"great rally, endless hits from alec + avy",,,,,,
,2,Receiving,Yes,opp_err,Alec,1,opp hit out,,,,,,
,2,Serving,Yes,our_point,Alec,1,tight cross,,,,,,
0:49,2,Serving,No,handling_misc,Avy,1,unexpected tip -> tapped it into net,,,,,,
,2,Receiving,Yes,opp_err,Alec,1,,,,,,,
,2,Serving,Yes,our_point,Avy,2,,,,,,,
,2,Serving,Yes,aced_on_them_suckas,Alec,2,,,,,,,
2:15,2,Serving,No,handling_bump,Ish,2,"long rally, overpassed like 3 times to them from avy, sof, ish LOL",,,,,,
,2,Receiving,Yes,opp_err,Avy,2,great conversion of bad pass by avy,,,,,,
,2,Serving,No,handling_bump,Alec,3,"low hit off kilter pass, missed salvage by ish",,,,,,
,2,Receiving,Yes,opp_err,Avy,3,great recv from christie + conversion by avy,,,,,,
4:23,2,Serving,Yes,aced_on_them_suckas,Avy,4,,,,,,,
,2,Serving,Yes,aced_on_them_suckas,Avy,4,,,,,,,
,2,Serving,Yes,aced_on_them_suckas,Avy,4,,,,,,,
,2,Serving,No,handling_bump,Sofia,4,last bump into net,,,,,,
,2,Receiving,No,aced_on_us,Alec,4,line/coverage,,,,,,
,2,Receiving,No,opp_point,Michelle,4,blocked hit,,,,,,
,2,Receiving,Yes,opp_err,Alec,4,unexpected salvage,,,,,,
,2,Serving,No,attack_out,Alec,5,siberia,,,,,,
,2,Receiving,Yes,opp_err,Alec,5,,,,,,,
